fraction,n,repeat,class,auc
0.45,446,8,宏平均,0.7876422895635495
0.45,446,9,观察,0.6919162262673714
0.45,446,9,内镜,0.6883680555555556
0.45,446,9,手术,0.934640522875817
0.45,446,9,宏平均,0.7716416015662478
0.58,574,0,观察,0.7254518170548704
0.58,574,0,内镜,0.7096688034188033
0.58,574,0,手术,0.9240824534942181
0.58,574,0,宏平均,0.786401024655964
0.58,574,1,观察,0.7305408755790436
0.58,574,1,内镜,0.7282986111111112
0.58,574,1,手术,0.9292776939835764
0.58,574,1,宏平均,0.7960390602245769
0.58,574,2,观察,0.721602400991714
0.58,574,2,内镜,0.727363782051282
0.58,574,2,手术,0.930115635997989
0.58,574,2,宏平均,0.7930272730136617
0.58,574,3,观察,0.7268219481959939
0.58,574,3,内镜,0.7166800213675213
0.58,574,3,手术,0.9284397519691637
0.58,574,3,宏平均,0.790647240510893
0.58,574,4,观察,0.7150127226463104
0.58,574,4,内镜,0.7096688034188035
0.58,574,4,手术,0.9338025808614043
0.58,574,4,宏平均,0.786161368975506
0.58,574,5,观察,0.7097279311019768
0.58,574,5,内镜,0.7146768162393162
0.58,574,5,手术,0.9312887548181665
0.58,574,5,宏平均,0.7852311673864865
0.58,574,6,观察,0.7135773471651334
0.58,574,6,内镜,0.7053285256410255
0.58,574,6,手术,0.9316239316239315
0.58,574,6,宏平均,0.7835099348100302
0.58,574,7,观察,0.7257127944150845
0.58,574,7,内镜,0.7213541666666665
0.58,574,7,手术,0.9255907491201609
0.58,574,7,宏平均,0.7908859034006372
0.58,574,8,观察,0.7284530566973316
0.58,574,8,内镜,0.719417735042735
0.58,574,8,手术,0.9344729344729343
0.58,574,8,宏平均,0.7941145754043336
0.58,574,9,观察,0.7113590396033144
0.58,574,9,内镜,0.7175480769230769
0.58,574,9,手术,0.9210658622423328
0.58,574,9,宏平均,0.7833243262562414
0.71,703,0,观察,0.7216676453317674
0.71,703,0,内镜,0.7238915598290598
0.71,703,0,手术,0.9351432880844646
0.71,703,0,宏平均,0.7935674977484307
0.71,703,1,观察,0.7296274548182945
0.71,703,1,内镜,0.7214877136752137
0.71,703,1,手术,0.9364839953075248
0.71,703,1,宏平均,0.7958663879336777
0.71,703,2,观察,0.735173223722842
0.71,703,2,内镜,0.7373130341880343
0.71,703,2,手术,0.9235796882855706
0.71,703,2,宏平均,0.7986886487321488
0.71,703,3,观察,0.7321067397403275
0.71,703,3,内镜,0.7295005341880343
0.71,703,3,手术,0.9260935143288084
0.71,703,3,宏平均,0.79590026275239
0.71,703,4,观察,0.741306191687871
0.71,703,4,内镜,0.7415197649572649
0.71,703,4,手术,0.9292776939835763
0.71,703,4,宏平均,0.8040345502095708
0.71,703,5,观察,0.7278006132967966
0.71,703,5,内镜,0.7333733974358974
0.71,703,5,手术,0.9282721635662812
0.71,703,5,宏平均,0.7964820580996584
0.71,703,6,观察,0.7262347491355124
0.71,703,6,内镜,0.7282318376068377
0.71,703,6,手术,0.9361488185017597
0.71,703,6,宏平均,0.7968718017480366
0.71,703,7,观察,0.7131858811248123
0.71,703,7,内镜,0.7167467948717949
0.71,703,7,手术,0.9338025808614043
